,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
55,001040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시
56,079160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시
58,00104K,KOSPI,CJ4우(전환),,,,,,,
59,000120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,강신호,http://www.cjlogistics.com,서울특별시
60,011150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도
61,011155,KOSPI,CJ씨푸드1우,,,,,,,
62,001045,KOSPI,CJ우,,,,,,,
63,097950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시
64,097955,KOSPI,CJ제일제당 우,,,,,,,
72,000590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,임규섭,http://www.chosunwelding.com,경상북도
73,012030,KOSPI,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시
76,016610,KOSPI,DB금융투자,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,12월,고원종,http://db-fi.com,서울특별시
77,005830,KOSPI,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,김정남,http://www.idbins.com,서울특별시
78,000990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도
79,000995,KOSPI,DB하이텍1우,,,,,,,
80,139130,KOSPI,DGB금융지주,기타 금융업,지주회사,2011-06-07,12월,김태오,http://www.dgbfg.co.kr,대구광역시
81,001530,KOSPI,DI동일,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04,12월,"서태원, 손재선",http://www.dong-il.com,서울특별시
82,000210,KOSPI,DL,기타 금융업,지주회사,1976-02-02,12월,배원복,http://www.dlholdings.co.kr,서울특별시
83,001880,KOSPI,DL건설,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,조남창,http://www.dlconstruction.co.kr,인천광역시
84,000215,KOSPI,DL우,,,,,,,
85,375500,KOSPI,DL이앤씨,토목 건설업,토목 건설 사업,2021-01-25,12월,마창민,,서울특별시
86,37550K,KOSPI,DL이앤씨우,,,,,,,
88,004840,KOSPI,DRB동일,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,류영식,http://drbworld.com,부산광역시
90,155660,KOSPI,DSR,1차 비철금속 제조업,합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시
91,069730,KOSPI,DSR제강,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,홍하종,http://www.dsrcorp.com,전라남도
92,017940,KOSPI,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,"구자용, 구동휘, 천정식 (각자 대표이사)",http://www.e1.co.kr,서울특별시
97,365550,KOSPI,ESR켄달스퀘어리츠,부동산 임대 및 공급업,부동산투자,2020-12-23,05월,박래익,http://www.esrks-reit.com,서울특별시
99,383220,KOSPI,F&F,봉제의복 제조업,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품",2021-05-21,12월,김창수,http://www.fnf.co.kr,서울특별시
100,007700,KOSPI,F&F홀딩스,봉제의복 제조업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnf.co.kr,서울특별시
101,285690,KOSPI,FOCUS ESG리더스,,,,,,,
102,292730,KOSPI,FOCUS KRX300,,,,,,,
103,402520,KOSPI,FOCUS 혁신기업액티브,,,,,,,
105,73501BB4,KOSPI,GB국민참여정책형뉴딜A,,,,,,,
106,73502BB4,KOSPI,GB국민참여정책형뉴딜C,,,,,,,
107,73503BB4,KOSPI,GB국민참여정책형뉴딜I,,,,,,,
108,73501BA2,KOSPI,GB중소성장기업A,,,,,,,
109,73502BA2,KOSPI,GB중소성장기업C,,,,,,,
110,73503BA2,KOSPI,GB중소성장기업I,,,,,,,
112,114090,KOSPI,GKL,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19,12월,김영산,http://www.grandkorea.com,서울특별시
114,078930,KOSPI,GS,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,"허태수, 홍순기 (각자 대표이사)",,서울특별시
116,006360,KOSPI,GS건설,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03,12월,"허창수, 임병용(각자 대표이사)",http://www.gsconst.co.kr/,서울특별시
117,001250,KOSPI,GS글로벌,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,김태형,http://www.gsgcorp.com,서울특별시
118,007070,KOSPI,GS리테일,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,"허연수, 김호성",http://www.gsretail.com,서울특별시
119,078935,KOSPI,GS우,,,,,,,
121,293180,KOSPI,HANARO 200,,,,,,,
122,407310,KOSPI,HANARO 200 TOP10,,,,,,,
123,332930,KOSPI,HANARO 200TR,,,,,,,
124,304780,KOSPI,HANARO 200선물레버리지,,,,,,,
125,306520,KOSPI,HANARO 200선물인버스,,,,,,,
126,395290,KOSPI,HANARO Fn K-POP&미디어,,,,,,,
127,395280,KOSPI,HANARO Fn K-게임,,,,,,,
128,368190,KOSPI,HANARO Fn K-뉴딜디지털플러스,,,,,,,
129,402460,KOSPI,HANARO Fn K-메타버스MZ,,,,,,,
130,395270,KOSPI,HANARO Fn K-반도체,,,,,,,
131,367740,KOSPI,HANARO Fn5G산업,,,,,,,
132,407300,KOSPI,HANARO Fn골프테마,,,,,,,
133,381560,KOSPI,HANARO Fn전기&수소차,,,,,,,
134,381570,KOSPI,HANARO Fn친환경에너지,,,,,,,
135,346000,KOSPI,HANARO KAP초장기국고채,,,,,,,
136,304760,KOSPI,HANARO KRX300,,,,,,,
137,404470,KOSPI,HANARO KRX기후변화솔루션,,,,,,,
138,332940,KOSPI,HANARO MSCI Korea TR,,,,,,,
139,322400,KOSPI,HANARO e커머스,,,,,,,
140,322410,KOSPI,HANARO 고배당,,,,,,,
141,354350,KOSPI,HANARO 글로벌럭셔리S&P(합성),,,,,,,
142,401590,KOSPI,HANARO 글로벌탄소배출권선물ICE(합성),,,,,,,
143,314700,KOSPI,HANARO 농업융복합산업,,,,,,,
144,390950,KOSPI,HANARO 단기채권액티브,,,,,,,
145,304770,KOSPI,HANARO 코스닥150,,,,,,,
146,306530,KOSPI,HANARO 코스닥150선물레버리지,,,,,,,
147,375760,KOSPI,HANARO 탄소효율그린뉴딜,,,,,,,
150,012630,KOSPI,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 유병규",http://www.i-park.com,서울특별시
151,039570,KOSPI,HDC아이콘트롤스,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC",2015-09-24,12월,김성은,http://www.icontrols.co.kr,경기도
152,089470,KOSPI,HDC현대EP,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25,12월,정 중 규,http://www.hdc-hyundaiep.com/,충청남도
153,294870,KOSPI,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,"권순호, 정경구",http://www.hdc-dvp.com,서울특별시
154,215620,KOSPI,HK S&P코리아로우볼,,,,,,,
155,391670,KOSPI,HK 베스트일레븐액티브,,,,,,,
156,391680,KOSPI,HK 하이볼액티브,,,,,,,
158,011200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시
160,082740,KOSPI,HSD엔진,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,http://www.hsdengine.com,경상남도
161,75801BB4,KOSPI,IBK 국민참여정책형뉴딜 혼합자산 A,,,,,,,
162,75802BB4,KOSPI,IBK 국민참여정책형뉴딜 혼합자산 C,,,,,,,
167,003560,KOSPI,IHQ,"영화, 비디오물, 방송프로그램 제작 및 배급업","매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",1973-12-18,12월,김형철,http://www.ihq.co.kr,서울특별시
170,175330,KOSPI,JB금융지주,기타 금융업,금융지주 회사,2013-07-18,12월,김기홍,http://www.jbfg.com,전라북도
172,234080,KOSPI,JW생명과학,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27,12월,차성남,http://www.jw-lifescience.co.kr,충청남도
174,001060,KOSPI,JW중외제약,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,"대표이사 신영섭, 이성열(각자 대표이사)",http://www.jw-pharma.co.kr,서울특별시
175,001067,KOSPI,JW중외제약2우B,,,,,,,
176,001065,KOSPI,JW중외제약우,,,,,,,
177,096760,KOSPI,JW홀딩스,기타 금융업,의약품 수출입업,2007-07-31,12월,"이경하, 한성권",http://jw-holdings.co.kr,서울특별시
179,580011,KOSPI,KB FnGuide 언택트 ETN,,,,,,,
180,580030,KOSPI,KB KOSDAQ 150 선물 ETN,,,,,,,
181,580028,KOSPI,KB KOSPI 200 선물 ETN,,,,,,,
182,580013,KOSPI,KB KRX ESG Eco ETN,,,,,,,
183,580012,KOSPI,KB KRX300 ETN,,,,,,,
184,580010,KOSPI,KB Wise 분할매매 ETN,,,,,,,
185,580025,KOSPI,KB 레버리지 KRX 2차전지 K-뉴딜 ETN,,,,,,,
186,580024,KOSPI,KB 레버리지 KRX BBIG K-뉴딜 ETN,,,,,,,
187,580016,KOSPI,KB 레버리지 S&P 500 선물 ETN(H),,,,,,,
188,580032,KOSPI,KB 레버리지 구리 선물 ETN(H),,,,,,,
189,580022,KOSPI,KB 레버리지 금 선물 ETN(H),,,,,,,
190,580015,KOSPI,KB 레버리지 나스닥 100 ETN,,,,,,,
191,580026,KOSPI,KB 레버리지 은 선물 ETN(H),,,,,,,
192,580018,KOSPI,KB 레버리지 항셍테크 선물 ETN(H),,,,,,,
193,71901B96,KOSPI,KB 와이즈 스타 부동산 자 2 A,,,,,,,
194,71902B96,KOSPI,KB 와이즈 스타 부동산 자 2 C-F,,,,,,,
195,71903B96,KOSPI,KB 와이즈 스타 부동산 자 2 C-I,,,,,,,
196,580017,KOSPI,KB 인버스 2X S&P 500 선물 ETN,,,,,,,
197,580033,KOSPI,KB 인버스 2X 구리 선물 ETN(H),,,,,,,
198,580023,KOSPI,KB 인버스 2X 금 선물 ETN(H),,,,,,,
199,580014,KOSPI,KB 인버스 2X 나스닥 100 ETN,,,,,,,
200,580027,KOSPI,KB 인버스 2X 은 선물 ETN(H),,,,,,,
201,580019,KOSPI,KB 인버스 2X 항셍테크 선물 ETN,,,,,,,
202,580031,KOSPI,KB 인버스 KOSDAQ150 선물 ETN,,,,,,,
203,580029,KOSPI,KB 인버스 KOSPI 200 선물 ETN,,,,,,,
204,580021,KOSPI,KB 인버스 천연가스 선물 ETN,,,,,,,
205,580020,KOSPI,KB 천연가스 선물 ETN(H),,,,,,,
206,58G634,KOSPI,KBG634롯데케미콜,,,,,,,
207,58G635,KOSPI,KBG635삼성전자콜,,,,,,,
208,58G636,KOSPI,KBG636삼성전자콜,,,,,,,
209,58G637,KOSPI,KBG637셀트리온콜,,,,,,,
210,58G638,KOSPI,KBG638삼성전자콜,,,,,,,
211,58G639,KOSPI,KBG639삼성전자콜,,,,,,,
212,58G640,KOSPI,KBG640삼성전자콜,,,,,,,
213,58G641,KOSPI,KBG641삼성중콜,,,,,,,
214,58G863,KOSPI,KBG863삼성전자콜,,,,,,,
215,58G940,KOSPI,KBG940KOSPI200콜,,,,,,,
216,58G941,KOSPI,KBG941KOSPI200콜,,,,,,,
217,58G942,KOSPI,KBG942KOSPI200콜,,,,,,,
218,58G943,KOSPI,KBG943KOSPI200콜,,,,,,,
219,58G944,KOSPI,KBG944KOSPI200콜,,,,,,,
220,58G945,KOSPI,KBG945KOSPI200풋,,,,,,,
221,58G946,KOSPI,KBG946KOSPI200풋,,,,,,,
222,58G947,KOSPI,KBG947KOSPI200풋,,,,,,,
223,58G948,KOSPI,KBG948KOSPI200풋,,,,,,,
224,58G949,KOSPI,KBG949KOSPI200풋,,,,,,,
225,58GB02,KOSPI,KBGB02케이티지콜,,,,,,,
226,58GB03,KOSPI,KBGB03엘지디스콜,,,,,,,
227,58GB04,KOSPI,KBGB04엘지전자콜,,,,,,,
228,58GB05,KOSPI,KBGB05LG화학콜,,,,,,,
229,58GB06,KOSPI,KBGB06POSCO콜,,,,,,,
230,58GB07,KOSPI,KBGB07바스켓콜,,,,,,,
231,58GB08,KOSPI,KBGB08SK하이닉콜,,,,,,,
232,58GB09,KOSPI,KBGB09삼성SDI콜,,,,,,,
233,58GB10,KOSPI,KBGB10삼성SDS콜,,,,,,,
234,58GB11,KOSPI,KBGB11삼성전자콜,,,,,,,
235,58GB12,KOSPI,KBGB12삼성전자풋,,,,,,,
236,58GB13,KOSPI,KBGB13신한지주콜,,,,,,,
237,58GB14,KOSPI,KBGB14하나금융콜,,,,,,,
238,58GB15,KOSPI,KBGB15SK하이닉콜,,,,,,,
239,58GB16,KOSPI,KBGB16삼성전자콜,,,,,,,
240,58GB17,KOSPI,KBGB17셀트리온콜,,,,,,,
241,58GB18,KOSPI,KBGB18삼성전자콜,,,,,,,
242,58GB19,KOSPI,KBGB19삼성전자풋,,,,,,,
243,58GB75,KOSPI,KBGB75KOSPI200콜,,,,,,,
244,58GB76,KOSPI,KBGB76KOSPI200콜,,,,,,,
245,58GB77,KOSPI,KBGB77KOSPI200콜,,,,,,,
246,58GB78,KOSPI,KBGB78KOSPI200콜,,,,,,,
247,58GB79,KOSPI,KBGB79KOSPI200콜,,,,,,,
248,58GB80,KOSPI,KBGB80KOSPI200콜,,,,,,,
249,58GB81,KOSPI,KBGB81KOSPI200콜,,,,,,,
250,58GB82,KOSPI,KBGB82KOSPI200콜,,,,,,,
251,58GB83,KOSPI,KBGB83KOSPI200콜,,,,,,,
252,58GB84,KOSPI,KBGB84KOSPI200콜,,,,,,,
253,58GC72,KOSPI,KBGC72엘지디스콜,,,,,,,
254,58GC73,KOSPI,KBGC73엘지전자콜,,,,,,,
255,58GC74,KOSPI,KBGC74LG화학콜,,,,,,,
256,58GC76,KOSPI,KBGC76POSCO콜,,,,,,,
257,58GC77,KOSPI,KBGC77SK콜,,,,,,,
258,58GC78,KOSPI,KBGC78SK이노콜,,,,,,,
259,58GC80,KOSPI,KBGC80SK하이닉콜,,,,,,,
260,58GC81,KOSPI,KBGC81SK하이닉콜,,,,,,,
261,58GC82,KOSPI,KBGC82기아콜,,,,,,,
262,58GC85,KOSPI,KBGC85삼성SDI콜,,,,,,,
263,58GC86,KOSPI,KBGC86삼성물산콜,,,,,,,
264,58GC87,KOSPI,KBGC87삼성바이콜,,,,,,,
265,58GC88,KOSPI,KBGC88삼성전기콜,,,,,,,
266,58GC89,KOSPI,KBGC89삼성전자풋,,,,,,,
267,58GC90,KOSPI,KBGC90셀트리온콜,,,,,,,
268,58GC91,KOSPI,KBGC91셀트제약콜,,,,,,,
269,58GC92,KOSPI,KBGC92셀트헬스콜,,,,,,,
270,58GC93,KOSPI,KBGC93아모레콜,,,,,,,
271,58GC94,KOSPI,KBGC94NC소프트콜,,,,,,,
272,58GC95,KOSPI,KBGC95이마트콜,,,,,,,
273,58GC98,KOSPI,KBGC98하나금융콜,,,,,,,
274,58GC99,KOSPI,KBGC99글로비스콜,,,,,,,
275,58GD02,KOSPI,KBGD02현대차콜,,,,,,,
276,58GD03,KOSPI,KBGD03호텔신라콜,,,,,,,
277,58GD05,KOSPI,KBGD05LG화학콜,,,,,,,
278,58GD06,KOSPI,KBGD06네이버콜,,,,,,,
279,58GD07,KOSPI,KBGD07POSCO콜,,,,,,,
280,58GD09,KOSPI,KBGD09SK하이닉콜,,,,,,,
281,58GD10,KOSPI,KBGD10기아콜,,,,,,,
282,58GD12,KOSPI,KBGD12롯데케미콜,,,,,,,
283,58GD13,KOSPI,KBGD13삼성SDI콜,,,,,,,
284,58GD14,KOSPI,KBGD14삼성바이콜,,,,,,,
285,58GD15,KOSPI,KBGD15삼성전자콜,,,,,,,
286,58GD17,KOSPI,KBGD17신한지주콜,,,,,,,
287,58GD18,KOSPI,KBGD18아모레콜,,,,,,,
288,58GD19,KOSPI,KBGD19한국항공콜,,,,,,,
289,58GD20,KOSPI,KBGD20모비스콜,,,,,,,
290,58GD21,KOSPI,KBGD21현대차콜,,,,,,,
291,58GD22,KOSPI,KBGD22엘지디스콜,,,,,,,
292,58GD23,KOSPI,KBGD23SK하이닉콜,,,,,,,
293,58GD24,KOSPI,KBGD24기아콜,,,,,,,
294,58GD25,KOSPI,KBGD25삼성물산콜,,,,,,,
295,58GD26,KOSPI,KBGD26삼성전자콜,,,,,,,
296,58GD27,KOSPI,KBGD27셀트리온콜,,,,,,,
297,58GD28,KOSPI,KBGD28NC소프트콜,,,,,,,
298,58GD29,KOSPI,KBGD29하나금융콜,,,,,,,
299,58GD30,KOSPI,KBGD30현대차콜,,,,,,,
300,58GD31,KOSPI,KBGD31삼성전자콜,,,,,,,
301,58GD32,KOSPI,KBGD32카카오콜,,,,,,,
302,58GD33,KOSPI,KBGD33하나금융콜,,,,,,,
303,58GD34,KOSPI,KBGD34한국전력콜,,,,,,,
304,58GD68,KOSPI,KBGD68KOSPI200콜,,,,,,,
305,58GD69,KOSPI,KBGD69KOSPI200콜,,,,,,,
306,58GD70,KOSPI,KBGD70KOSPI200콜,,,,,,,
307,58GD71,KOSPI,KBGD71KOSPI200콜,,,,,,,
308,58GD72,KOSPI,KBGD72KOSPI200콜,,,,,,,
309,58GD73,KOSPI,KBGD73KOSPI200콜,,,,,,,
310,58GD74,KOSPI,KBGD74KOSPI200콜,,,,,,,
311,58GD75,KOSPI,KBGD75KOSPI200풋,,,,,,,
312,58GD76,KOSPI,KBGD76KOSPI200풋,,,,,,,
313,58GD77,KOSPI,KBGD77KOSPI200풋,,,,,,,
314,58GD78,KOSPI,KBGD78KOSPI200풋,,,,,,,
315,58GD79,KOSPI,KBGD79KOSPI200풋,,,,,,,
316,58GD80,KOSPI,KBGD80KOSPI200풋,,,,,,,
317,58GD81,KOSPI,KBGD81KOSPI200풋,,,,,,,
318,58GD82,KOSPI,KBGD82KOSPI200풋,,,,,,,
319,58GD83,KOSPI,KBGD83KOSPI200풋,,,,,,,
320,58GD84,KOSPI,KBGD84KOSPI200풋,,,,,,,
321,58GD87,KOSPI,KBGD87엘지디스콜,,,,,,,
322,58GD88,KOSPI,KBGD88엘지전자풋,,,,,,,
323,58GD89,KOSPI,KBGD89엘지전자콜,,,,,,,
324,58GD91,KOSPI,KBGD91LG화학콜,,,,,,,
325,58GD92,KOSPI,KBGD92LG화학콜,,,,,,,
326,58GD94,KOSPI,KBGD94네이버풋,,,,,,,
327,58GD95,KOSPI,KBGD95네이버콜,,,,,,,
328,58GD97,KOSPI,KBGD97POSCO콜,,,,,,,
329,58GE00,KOSPI,KBGE00S-OIL콜,,,,,,,
330,58GE03,KOSPI,KBGE03금호석유콜,,,,,,,
331,58GE05,KOSPI,KBGE05기아콜,,,,,,,
332,58GE06,KOSPI,KBGE06기아콜,,,,,,,
333,58GE07,KOSPI,KBGE07넷마블콜,,,,,,,
334,58GE08,KOSPI,KBGE08녹십자콜,,,,,,,
335,58GE13,KOSPI,KBGE13만도콜,,,,,,,
336,58GE26,KOSPI,KBGE26SK바이오콜,,,,,,,
337,58GE31,KOSPI,KBGE31카카오콜,,,,,,,
338,58GE33,KOSPI,KBGE33하나금융콜,,,,,,,
339,58GE36,KOSPI,KBGE36한국전력콜,,,,,,,
340,58GE39,KOSPI,KBGE39모비스콜,,,,,,,
341,58GE40,KOSPI,KBGE40모비스콜,,,,,,,
342,58GE41,KOSPI,KBGE41현대제철콜,,,,,,,
343,58GE43,KOSPI,KBGE43현대차콜,,,,,,,
344,58GE63,KOSPI,KBGE63KOSPI200콜,,,,,,,
345,58GE64,KOSPI,KBGE64KOSPI200콜,,,,,,,
346,58GE65,KOSPI,KBGE65KOSPI200풋,,,,,,,
347,58GE66,KOSPI,KBGE66KOSPI200풋,,,,,,,
348,58GE67,KOSPI,KBGE67KOSPI200풋,,,,,,,
349,58GE68,KOSPI,KBGE68KOSPI200풋,,,,,,,
350,58GE69,KOSPI,KBGE69KOSPI200풋,,,,,,,
351,58GE70,KOSPI,KBGE70KOSPI200풋,,,,,,,
352,58GE71,KOSPI,KBGE71KOSPI200풋,,,,,,,
353,58GE72,KOSPI,KBGE72KOSPI200풋,,,,,,,
354,58GE73,KOSPI,KBGE73KOSPI200풋,,,,,,,
355,58GE74,KOSPI,KBGE74KOSPI200풋,,,,,,,
356,58GE75,KOSPI,KBGE75KOSPI200풋,,,,,,,
357,58GE76,KOSPI,KBGE76KOSPI200콜,,,,,,,
358,58GE77,KOSPI,KBGE77KOSPI200콜,,,,,,,
359,58GE78,KOSPI,KBGE78KOSPI200콜,,,,,,,
360,58GE79,KOSPI,KBGE79KOSPI200콜,,,,,,,
361,58GE80,KOSPI,KBGE80KOSPI200콜,,,,,,,
362,58GE81,KOSPI,KBGE81KOSPI200콜,,,,,,,
363,58GE82,KOSPI,KBGE82KOSPI200콜,,,,,,,
364,58GE83,KOSPI,KBGE83KOSPI200콜,,,,,,,
365,58GE84,KOSPI,KBGE84KOSPI200콜,,,,,,,
366,58GE85,KOSPI,KBGE85KOSPI200콜,,,,,,,
367,58GE86,KOSPI,KBGE86KOSPI200콜,,,,,,,
368,58GE87,KOSPI,KBGE87KOSPI200콜,,,,,,,
369,58GE88,KOSPI,KBGE88KOSPI200콜,,,,,,,
370,58GE89,KOSPI,KBGE89KOSPI200콜,,,,,,,
371,58GE90,KOSPI,KBGE90KOSPI200콜,,,,,,,
372,58GE92,KOSPI,KBGE92엘지디스풋,,,,,,,
373,58GE93,KOSPI,KBGE93LG생건콜,,,,,,,
374,58GE94,KOSPI,KBGE94LG화학콜,,,,,,,
375,58GE95,KOSPI,KBGE95LG화학풋,,,,,,,
376,58GE96,KOSPI,KBGE96네이버콜,,,,,,,
377,58GE97,KOSPI,KBGE97네이버콜,,,,,,,
378,58GE98,KOSPI,KBGE98네이버콜,,,,,,,
379,58GE99,KOSPI,KBGE99네이버풋,,,,,,,
380,58GF00,KOSPI,KBGF00POSCO콜,,,,,,,
381,58GF01,KOSPI,KBGF01POSCO풋,,,,,,,
382,58GF02,KOSPI,KBGF02SK풋,,,,,,,
383,58GF06,KOSPI,KBGF06SK하이닉콜,,,,,,,
384,58GF07,KOSPI,KBGF07SK하이닉콜,,,,,,,
